Customer_ID,Customer_Name,Gender,City,Customer_Segment
CUST-0001,Shane Lara,ذكر,الإسكندرية,New
CUST-0002,John Smith,ذكر,بورسعيد,New
CUST-0003,David Carrillo III,ذكر,المنصورة,VIP
CUST-0004,William Gomez,أنثى,الجيزة,New
CUST-0005,Timothy Roberts,أنثى,الجيزة,Regular
CUST-0006,Sabrina Murphy,أنثى,المنصورة,New
CUST-0007,Jessica Cruz,ذكر,طنطا,VIP
CUST-0008,Richard Arnold,ذكر,الجيزة,Regular
CUST-0009,Joel Lewis,ذكر,طنطا,Regular
CUST-0010,James Lam,ذكر,بورسعيد,VIP
CUST-0011,Jesus Johnson,ذكر,بورسعيد,Regular
CUST-0012,Austin Espinoza,أنثى,بورسعيد,VIP
CUST-0013,Samantha Cummings,ذكر,الإسكندرية,New
CUST-0014,Tabitha Morrow,ذكر,الجيزة,Regular
CUST-0015,Adam Henry,أنثى,الجيزة,Regular
CUST-0016,Colleen Love,ذكر,طنطا,Regular
CUST-0017,Mrs. Nichole Jones MD,ذكر,الإسكندرية,VIP
CUST-0018,Lisa Adams,ذكر,المنصورة,Regular
CUST-0019,Megan Cooper,ذكر,المنصورة,Regular
CUST-0020,Scott Davis,أنثى,المنصورة,New
CUST-0021,Nicholas Le,أنثى,الجيزة,New
CUST-0022,Renee Turner,ذكر,طنطا,New
CUST-0023,Dr. Jessica Parker,ذكر,طنطا,New
CUST-0024,Erica Bentley,ذكر,طنطا,Regular
CUST-0025,Melody Hogan,ذكر,الإسكندرية,Regular
CUST-0026,Charlotte Johnson,ذكر,المنصورة,VIP
CUST-0027,Kristin Horton,ذكر,الجيزة,VIP
CUST-0028,Sabrina Lee,ذكر,المنصورة,New
CUST-0029,Mr. Nathan Summers MD,أنثى,بورسعيد,Regular
CUST-0030,Angela Best,أنثى,القاهرة,Regular
CUST-0031,Wayne Thompson,أنثى,المنصورة,VIP
CUST-0032,Susan Cabrera,ذكر,المنصورة,VIP
CUST-0033,Carlos Pacheco,ذكر,الإسكندرية,VIP
CUST-0034,Travis Mitchell,ذكر,طنطا,New
CUST-0035,Jacob Williams,ذكر,المنصورة,Regular
CUST-0036,Kaylee Hurley,أنثى,الجيزة,Regular
CUST-0037,Courtney Mcbride,ذكر,الإسكندرية,Regular
CUST-0038,Jennifer Jimenez,أنثى,بورسعيد,Regular
CUST-0039,Pamela Young,ذكر,بورسعيد,New
CUST-0040,Diana Chan,ذكر,المنصورة,New
CUST-0041,Kathryn Mcclain,أنثى,بورسعيد,Regular
CUST-0042,Holly Singh,أنثى,القاهرة,VIP
CUST-0043,Isaac Rice,أنثى,الجيزة,Regular
CUST-0044,Rebecca Rose,أنثى,بورسعيد,Regular
CUST-0045,Grant Hess,ذكر,طنطا,Regular
