CustomerID,CustomerName,Gender,CustomerSegment
1001,Richard Powers,Male,Consumer
1002,Christian Petersen,Male,Home Office
1003,Jasmine Peters,Female,Corporate
1004,Jamie Dunn,Male,Consumer
1005,Eric Harper,Male,Consumer
1006,Eric Green,Male,Consumer
1007,Lindsay Hill,Male,Consumer
1008,Michael Rodriguez,Male,Home Office
1009,Michelle Walker,Female,Corporate
1010,Richard Villa,Male,Corporate
1011,Cynthia Sanchez,Male,Consumer
1012,Gabrielle Brown,Male,Home Office
1013,Travis Montes,Male,Corporate
1014,Anthony Mcdonald,Male,Consumer
1015,Frank Green Jr.,Male,Consumer
1016,Erin Wood,Male,Consumer
1017,Colleen Williams,Female,Consumer
1018,Andrew Davies,Male,Consumer
1019,Brittany Mullins,Female,Consumer
1020,Nicole Davis,Female,Consumer
1021,Debra Escobar,Male,Corporate
1022,Marc Reynolds,Male,Consumer
1023,Mr. Kyle Daugherty,Female,Consumer
1024,Isaac Yang,Female,Consumer
1025,Wanda Foster,Female,Consumer
1026,Traci Mcdonald,Male,Corporate
1027,Steven Stevenson,Male,Consumer
1028,Carrie Olsen,Female,Consumer
1029,Cody Wilcox,Male,Consumer
1030,Anna Rogers DVM,Male,Consumer
1031,Maxwell Mccormick,Female,Corporate
1032,Travis Cohen,Male,Consumer
1033,Lauren Butler,Female,Consumer
1034,Luis Long,Female,Home Office
1035,Heather Williams,Female,Home Office
1036,Erica Gonzalez,Male,Corporate
1037,Tyler Hamilton,Female,Consumer
1038,Amy Smith,Male,Consumer
1039,Rebecca Calhoun,Female,Corporate
1040,Laura Hicks,Male,Consumer
1041,Bruce Williams,Female,Consumer
1042,Janet Burgess,Female,Consumer
1043,Michelle Rodriguez,Male,Consumer
1044,Matthew Martin,Male,Home Office
1045,Hannah Johnson,Male,Consumer
1046,Matthew Garrett,Male,Corporate
1047,William Arnold,Female,Consumer
1048,Michael Freeman,Male,Consumer
1049,Jennifer Serrano,Male,Consumer
1050,John Weaver,Male,Consumer
1051,Allen Riley,Female,Home Office
1052,Daniel Mcgee,Female,Corporate
1053,Michael Mccoy,Female,Home Office
1054,Carl Clarke,Female,Home Office
1055,Michelle Nelson,Male,Consumer
1056,David Zuniga Jr.,Female,Home Office
1057,George Wilkinson,Female,Consumer
1058,Shelly Bailey,Male,Consumer
1059,John Brown,Female,Consumer
1060,Alexandra Sanchez,Male,Consumer
1061,David Mendoza,Male,Consumer
1062,Donna Hogan,Male,Consumer
1063,Neil Phillips,Male,Corporate
1064,Tracy Martin,Female,Consumer
1065,Stephanie Mitchell,Female,Consumer
1066,Nicole Love,Female,Consumer
1067,Susan Barron,Male,Consumer
1068,Sheri Jackson,Female,Corporate
1069,Steven Brown,Male,Consumer
1070,Jeffrey Jones,Male,Home Office
1071,Jessica Garcia,Male,Corporate
1072,Erica Brewer,Female,Consumer
1073,Paul Moore,Female,Consumer
1074,Mitchell Russell,Female,Corporate
1075,Michelle Wise MD,Male,Corporate
1076,Katrina Garcia,Male,Corporate
1077,Penny Salazar,Female,Corporate
1078,Sarah Collins,Male,Consumer
1079,John Davis,Female,Consumer
1080,Heather Whitney,Female,Consumer
1081,Gina Goodwin,Female,Home Office
1082,Ryan Young,Male,Corporate
1083,Elizabeth May,Female,Consumer
1084,Mark Nelson,Male,Consumer
1085,David Martinez,Male,Consumer
1086,Michelle Knight,Female,Consumer
1087,Scott Hahn,Female,Corporate
1088,Lisa Howard,Female,Corporate
1089,Ryan Harris,Female,Home Office
1090,Zachary Santana,Male,Consumer
1091,Kelly Garcia,Male,Consumer
1092,Donald Mcintyre,Female,Corporate
1093,Anna Jenkins,Male,Corporate
1094,Willie Ruiz,Male,Consumer
1095,James Romero,Male,Corporate
1096,Laurie Owen,Male,Consumer
1097,Michael Brooks,Male,Consumer
1098,Samantha Combs,Female,Consumer
1099,Scott Lin,Male,Consumer
1100,Kathleen Ibarra,Female,Consumer
1101,Christina Cantu,Female,Consumer
1102,Katherine Sherman,Female,Corporate
1103,Matthew Ross,Female,Consumer
1104,Darrell Hartman,Male,Consumer
1105,Travis White,Male,Home Office
1106,Chad Rice,Female,Consumer
1107,Jason Douglas,Female,Consumer
1108,Nathaniel Phillips,Male,Corporate
1109,Jonathon Russell,Female,Consumer
1110,Victoria Reeves,Female,Consumer
1111,James Glass,Male,Consumer
1112,Denise Meyer,Female,Consumer
1113,Jesse Garcia,Male,Home Office
1114,Monica Mccormick,Female,Corporate
1115,John Newton,Male,Corporate
1116,Zachary Burton,Male,Home Office
1117,Roy Mills,Female,Corporate
1118,Hannah Harrington,Male,Consumer
1119,Spencer Taylor,Male,Home Office
1120,Brian Bailey,Female,Consumer
1121,Wendy Reese,Male,Corporate
1122,John Vaughn,Male,Home Office
1123,William Humphrey,Female,Consumer
1124,Jennifer Shannon,Female,Consumer
1125,Julia Ferguson,Male,Consumer
1126,Kathryn Campbell,Male,Consumer
1127,Christina Guerra,Female,Corporate
1128,Mary Watson,Female,Home Office
1129,Nicholas Johnson,Male,Consumer
1130,Felicia Osborne,Male,Consumer
1131,Joseph Rich,Male,Consumer
1132,Carl Mclaughlin,Male,Consumer
1133,Thomas Skinner,Male,Consumer
1134,Amy Kim,Female,Consumer
1135,Misty Miller DDS,Male,Home Office
1136,Jose Davis,Male,Consumer
1137,Tasha Russell,Male,Consumer
1138,Richard Ellison,Female,Corporate
1139,Anthony Johnson,Male,Consumer
1140,Christopher Berry,Female,Home Office
1141,Whitney Mendez,Female,Home Office
1142,Sean Flowers,Male,Consumer
1143,Rachel Ali,Male,Consumer
1144,Casey Hall,Female,Consumer
1145,Jennifer Green,Female,Consumer
1146,Krista Brown,Female,Consumer
1147,Jose Jones,Female,Corporate
1148,Todd Proctor,Female,Consumer
1149,Cynthia Pace,Male,Consumer
1150,Joanna Peterson,Male,Consumer
1151,Vincent Miller,Male,Home Office
1152,David Kirby,Male,Consumer
1153,Troy Miller,Female,Consumer
1154,Christopher Murphy,Male,Consumer
1155,Veronica Gray,Male,Home Office
1156,Lindsey Mccarthy,Male,Consumer
1157,Sean Grimes,Male,Corporate
1158,William Garcia,Male,Corporate
1159,Steven Gardner,Male,Consumer
1160,Margaret Sharp,Male,Corporate
1161,Kristin Kane,Male,Consumer
1162,Bradley Gomez,Male,Corporate
1163,Lori Brown,Female,Corporate
1164,Richard Gordon,Male,Consumer
1165,Melanie Roberts,Male,Consumer
1166,Kelli White MD,Female,Corporate
1167,Tara Davis,Female,Consumer
1168,Monique Pace,Male,Consumer
1169,Brooke Patel,Male,Consumer
1170,Becky Gomez,Female,Consumer
1171,Danielle Roth,Male,Corporate
1172,Maurice Miles,Female,Consumer
1173,Megan Adams,Female,Consumer
1174,Lisa Gonzales,Male,Consumer
1175,George Orr,Male,Corporate
1176,Joseph Kim,Male,Consumer
1177,Samuel Davis,Female,Corporate
1178,John Mclean,Female,Consumer
1179,Melvin James,Female,Home Office
1180,Christina Vargas,Female,Consumer
1181,Perry Pineda,Female,Consumer
1182,Robert Franklin,Male,Consumer
1183,Bradley Johnson,Male,Home Office
1184,Kimberly Rodriguez,Male,Home Office
1185,Jessica Johnson,Female,Consumer
1186,Allen Clements,Female,Corporate
1187,John Moore,Male,Corporate
1188,Regina Figueroa,Male,Consumer
1189,Sarah Warner,Male,Consumer
1190,Bill Thompson,Male,Consumer
1191,Dalton Olson,Female,Consumer
1192,Brianna Holland,Male,Home Office
1193,Kevin Lin,Female,Home Office
1194,Robert Martin,Male,Corporate
1195,Cynthia Sullivan,Female,Consumer
1196,Kaitlyn Carter,Female,Consumer
1197,Stephen Malone,Male,Corporate
1198,Morgan Robinson,Male,Home Office
1199,Margaret Rogers,Female,Home Office
1200,Heidi Moore,Male,Corporate
1201,Ashley Burton,Male,Corporate
1202,Frank White,Male,Consumer
1203,Christopher Lopez,Male,Consumer
1204,David Stout,Male,Home Office
1205,Pamela Parker,Male,Corporate
1206,April Evans,Female,Consumer
1207,Danielle Whitney,Female,Consumer
1208,Lisa Ramsey,Female,Corporate
1209,Jamie Jones,Male,Consumer
1210,Steven Rollins,Female,Consumer
1211,Veronica Moon,Male,Consumer
1212,Michael Oliver,Male,Corporate
1213,Mrs. Tina Hoffman,Female,Corporate
1214,Paul Avila,Male,Consumer
1215,Janice Stone,Female,Corporate
1216,David Brown,Female,Consumer
1217,Brooke Smith,Female,Consumer
1218,Calvin Thompson,Female,Corporate
