Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Profit
43,CA-2016-101343,17-Jul-16,22-Jul-16,Standard_Class,RA-19885,Ruben_Ausman,Corporate,United_States,Los_Angeles,California,90049,West,OFF-ST-10003479,Office_Supplies,Storage,"Eldon_Base_for_stackable_storage_shelf,_platinum",77.88,2,0,3.894
514,CA-2017-163405,21-Dec-17,25-Dec-17,Standard_Class,BN-11515,Bradley_Nguyen,Consumer,United_States,Los_Angeles,California,90049,West,OFF-AR-10003811,Office_Supplies,Art,Newell_327,6.63,3,0,1.7901
515,CA-2017-163405,21-Dec-17,25-Dec-17,Standard_Class,BN-11515,Bradley_Nguyen,Consumer,United_States,Los_Angeles,California,90049,West,OFF-AR-10001246,Office_Supplies,Art,Newell_317,5.88,2,0,1.7052
1606,US-2016-115819,19-Apr-16,24-Apr-16,Second_Class,JO-15280,Jas_O'Carroll,Consumer,United_States,Los_Angeles,California,90049,West,OFF-AR-10000823,Office_Supplies,Art,Newell_307,5.46,3,0,1.5288
1607,US-2016-115819,19-Apr-16,24-Apr-16,Second_Class,JO-15280,Jas_O'Carroll,Consumer,United_States,Los_Angeles,California,90049,West,OFF-AR-10004456,Office_Supplies,Art,Panasonic_KP-4ABK_Battery-Operated_Pencil_Sharpener,73.2,5,0,21.228
1609,US-2016-115819,19-Apr-16,24-Apr-16,Second_Class,JO-15280,Jas_O'Carroll,Consumer,United_States,Los_Angeles,California,90049,West,OFF-PA-10002377,Office_Supplies,Paper,"Adams_Telephone_Message_Book_W/Dividers/Space_For_Phone_Numbers,_5_1/4""X8_1/2"",_200/Messages",22.72,4,0,10.224
1807,US-2016-116729,25-Dec-16,28-Dec-16,First_Class,GK-14620,Grace_Kelly,Corporate,United_States,Los_Angeles,California,90049,West,OFF-PA-10002005,Office_Supplies,Paper,Xerox_225,45.36,7,0,21.7728
2060,CA-2014-106439,31-Oct-14,4-Nov-14,Standard_Class,GG-14650,Greg_Guthrie,Corporate,United_States,Los_Angeles,California,90049,West,OFF-FA-10002975,Office_Supplies,Fasteners,Staples,11.34,3,0,5.2164
2061,CA-2014-106439,31-Oct-14,4-Nov-14,Standard_Class,GG-14650,Greg_Guthrie,Corporate,United_States,Los_Angeles,California,90049,West,OFF-ST-10003996,Office_Supplies,Storage,"Letter/Legal_File_Tote_with_Clear_Snap-On_Lid,_Black_Granite",80.3,5,0,20.878
2063,CA-2014-106439,31-Oct-14,4-Nov-14,Standard_Class,GG-14650,Greg_Guthrie,Corporate,United_States,Los_Angeles,California,90049,West,OFF-PA-10000477,Office_Supplies,Paper,Xerox_1952,64.74,13,0,30.4278
2065,CA-2014-106439,31-Oct-14,4-Nov-14,Standard_Class,GG-14650,Greg_Guthrie,Corporate,United_States,Los_Angeles,California,90049,West,OFF-ST-10001963,Office_Supplies,Storage,Tennsco_Regal_Shelving_Units,405.64,4,0,12.1692
2068,CA-2014-106439,31-Oct-14,4-Nov-14,Standard_Class,GG-14650,Greg_Guthrie,Corporate,United_States,Los_Angeles,California,90049,West,OFF-AR-10001419,Office_Supplies,Art,Newell_325,12.39,3,0,3.717
2191,CA-2016-118913,25-Jun-16,29-Jun-16,Standard_Class,AS-10240,Alan_Shonely,Consumer,United_States,Los_Angeles,California,90049,West,OFF-AP-10000692,Office_Supplies,Appliances,Fellowes_Mighty_8_Compact_Surge_Protector,60.81,3,0,17.0268
2492,CA-2014-113579,13-Dec-14,15-Dec-14,Second_Class,KD-16345,Katherine_Ducich,Consumer,United_States,Los_Angeles,California,90049,West,OFF-PA-10001457,Office_Supplies,Paper,White_GlueTop_Scratch_Pads,90.24,6,0,41.5104
2944,CA-2017-126242,19-Nov-17,24-Nov-17,Standard_Class,MC-18100,Mick_Crebagga,Consumer,United_States,Los_Angeles,California,90049,West,OFF-ST-10000675,Office_Supplies,Storage,"File_Shuttle_II_and_Handi-File,_Black",305.01,9,0,76.2525
3534,CA-2014-110849,18-Apr-14,23-Apr-14,Standard_Class,JL-15835,John_Lee,Consumer,United_States,Los_Angeles,California,90049,West,OFF-AR-10002375,Office_Supplies,Art,Newell_351,13.12,4,0,3.8048
3535,CA-2014-110849,18-Apr-14,23-Apr-14,Standard_Class,JL-15835,John_Lee,Consumer,United_States,Los_Angeles,California,90049,West,OFF-AR-10000657,Office_Supplies,Art,"Binney_&_Smith_inkTank_Desk_Highlighter,_Chisel_Tip,_Yellow,_12/Box",10.75,5,0,3.5475
3536,CA-2014-110849,18-Apr-14,23-Apr-14,Standard_Class,JL-15835,John_Lee,Consumer,United_States,Los_Angeles,California,90049,West,OFF-FA-10000134,Office_Supplies,Fasteners,"Advantus_Push_Pins,_Aluminum_Head",11.62,2,0,3.6022
3565,CA-2016-130029,3-Jul-16,6-Jul-16,First_Class,GT-14755,Guy_Thornton,Consumer,United_States,Los_Angeles,California,90049,West,OFF-PA-10000552,Office_Supplies,Paper,Xerox_200,12.96,2,0,6.2208
3566,CA-2016-130029,3-Jul-16,6-Jul-16,First_Class,GT-14755,Guy_Thornton,Consumer,United_States,Los_Angeles,California,90049,West,OFF-FA-10001135,Office_Supplies,Fasteners,"Brites_Rubber_Bands,_1_1/2_oz._Box",3.96,2,0,0.0792
3759,CA-2015-167745,18-Sep-15,23-Sep-15,Standard_Class,GB-14530,George_Bell,Corporate,United_States,Los_Angeles,California,90049,West,OFF-AR-10003602,Office_Supplies,Art,"Quartet_Omega_Colored_Chalk,_12/Pack",11.68,2,0,5.4896
3760,CA-2015-167745,18-Sep-15,23-Sep-15,Standard_Class,GB-14530,George_Bell,Corporate,United_States,Los_Angeles,California,90049,West,OFF-SU-10004782,Office_Supplies,Supplies,"Elite_5""_Scissors",16.9,2,0,5.07
3844,CA-2014-101931,28-Oct-14,31-Oct-14,First_Class,TS-21370,Todd_Sumrall,Corporate,United_States,Los_Angeles,California,90049,West,OFF-SU-10002301,Office_Supplies,Supplies,Serrated_Blade_or_Curved_Handle_Hand_Letter_Openers,6.28,2,0,0.0628
3845,CA-2014-101931,28-Oct-14,31-Oct-14,First_Class,TS-21370,Todd_Sumrall,Corporate,United_States,Los_Angeles,California,90049,West,OFF-SU-10000646,Office_Supplies,Supplies,Premier_Automatic_Letter_Opener,480.74,2,0,14.4222
3847,CA-2014-101931,28-Oct-14,31-Oct-14,First_Class,TS-21370,Todd_Sumrall,Corporate,United_States,Los_Angeles,California,90049,West,OFF-ST-10003442,Office_Supplies,Storage,Eldon_Portable_Mobile_Manager,141.4,5,0,38.178
4339,CA-2015-125234,27-Nov-15,1-Dec-15,Standard_Class,SN-20710,Steve_Nguyen,Home_Office,United_States,Los_Angeles,California,90049,West,OFF-PA-10000482,Office_Supplies,Paper,"Snap-A-Way_Black_Print_Carbonless_Ruled_Speed_Letter,_Triplicate",113.82,3,0,53.4954
4481,CA-2016-109365,3-Nov-16,8-Nov-16,Standard_Class,XP-21865,Xylona_Preis,Consumer,United_States,Los_Angeles,California,90049,West,OFF-FA-10001561,Office_Supplies,Fasteners,Stockwell_Push_Pins,15.26,7,0,5.0358
4482,CA-2016-109365,3-Nov-16,8-Nov-16,Standard_Class,XP-21865,Xylona_Preis,Consumer,United_States,Los_Angeles,California,90049,West,OFF-AP-10002998,Office_Supplies,Appliances,Holmes_99%_HEPA_Air_Purifier,43.32,2,0,14.2956
4484,CA-2016-109365,3-Nov-16,8-Nov-16,Standard_Class,XP-21865,Xylona_Preis,Consumer,United_States,Los_Angeles,California,90049,West,OFF-PA-10001725,Office_Supplies,Paper,Xerox_1892,116.28,3,0,56.9772
4486,CA-2016-109365,3-Nov-16,8-Nov-16,Standard_Class,XP-21865,Xylona_Preis,Consumer,United_States,Los_Angeles,California,90049,West,OFF-PA-10000477,Office_Supplies,Paper,Xerox_22,19.44,3,0,9.3312
4487,CA-2016-109365,3-Nov-16,8-Nov-16,Standard_Class,XP-21865,Xylona_Preis,Consumer,United_States,Los_Angeles,California,90049,West,OFF-PA-10004359,Office_Supplies,Paper,Multicolor_Computer_Printout_Paper,314.55,3,0,150.984
4561,CA-2015-118871,4-Dec-15,9-Dec-15,Second_Class,HM-14860,Harry_Marie,Corporate,United_States,Los_Angeles,California,90049,West,OFF-EN-10003296,Office_Supplies,Envelopes,Tyvek_Side-Opening_Peel_&_Seel_Expanding_Envelopes,271.44,3,0,122.148
